id,zip,score,process,address,restaurant,inspection-date,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country
11196260,78728,79,"Routine Inspection","3711 SHORELINE DR AUSTIN, TX 78728 ","Athlos Leadership Academy - Austin",2015-12-27T00:00:00Z,30.458908,-97.690941,1,range_interpolation,3711,"Shoreline Dr",Austin,TX,"Travis County",78728,US
11196293,78723,100,"Routine Inspection","6518 ED BLUESTEIN BLVD AUSTIN, TX 78723 ","7-Eleven Convenience Store # 36604A",2014-12-28T00:00:00Z,30.303625,-97.661042,1,range_interpolation,6518,"Ed Bluestein Blvd",Austin,TX,"Travis County",78723,US
11196553,78745,100,"Routine Inspection","4930 S CONGRESS AVE Bunit 303 AUSTIN, TX 78745 ","Sound Gallery, The",2014-12-28T00:00:00Z,30.211295,-97.771073,0.9,range_interpolation,4930,"Congress Ave S",Austin,TX,"Travis County",78745,US
11197127,78758,84,"Routine Inspection","946 PAYTON GIN RD AUSTIN, TX 78758 ","La Unica Michoacana LLC",2014-12-28T00:00:00Z,30.359884,-97.704286,1,range_interpolation,946,"Payton Gin Rd",Austin,TX,"Travis County",78758,US
11197918,78746,94,"Routine Inspection","701 S CAPITAL OF TEXAS HWY NB Unit M WEST LAKE HILLS, TX 78746 ","WL- Kerbey Lane Cafe -Westlake",2015-12-27T00:00:00Z,30.292797,-97.828006,1,range_interpolation,701,"S Capital Of Texas Hwy",Austin,TX,"Travis County",78746,US
11197932,78752,86,"Routine Inspection","6001 AIRPORT BLVD AUSTIN, TX 78752 ","Tropical Smoothie Cafe",2015-12-27T00:00:00Z,30.324207,-97.715532,1,range_interpolation,6001,"Airport Blvd",Austin,TX,"Travis County",78752,US
11198000,78723,82,"Routine Inspection","5811 BERKMAN DR AUSTIN, TX 78723 ","El Tacorrido",2014-12-28T00:00:00Z,30.311932,-97.693623,1,range_interpolation,5811,"Berkman Dr",Austin,TX,"Travis County",78723,US
11198007,78758,83,"Routine Inspection","9320 N LAMAR BLVD AUSTIN, TX 78758 ","El Tacorrido",2014-12-28T00:00:00Z,30.362791,-97.697446,1,range_interpolation,9320,"N Lamar Blvd",Austin,TX,"Travis County",78753,US
11199110,78660,100,"Routine Inspection","4301 GATTIS SCHOOL RD PFLUGERVILLE, TX 78660 ","Dearing Elementary School",2015-12-27T00:00:00Z,30.497066,-97.593832,1,range_interpolation,4301,"Gattis School Rd","Round Rock",TX,"Williamson County",78664,US
11199256,78745,100,"Routine Inspection","4715 S LAMAR BLVD Unit 102 SUNSET VALLEY, TX 78745 ","SV - Stouthaus Coffee Pub",2014-12-28T00:00:00Z,30.232868,-97.811737,1,range_interpolation,4715,"S Lamar Blvd",Austin,TX,"Travis County",78745,US
